cm_id,entity_id,entity_type,campaign_name,campaign_type,member_status,is_responded,response_date,is_active
e58e86301ffa4cb6,e6fe353aa34e40f1,contact,Integrate Open-Source Architectures Webinar 2023,Webinar,No Show,False,2023-06-24,True
b320cca912334dd9,820e3f38dbe146bb,lead,Architect Customized Partnerships Telemarketing 2024,Email,Sent,False,2025-04-24,False
fe68ca7b661c48ba,f45c994a5a57444b,contact,Re-Intermediate Visionary Convergence Webinar 2025,Webinar,Registered,False,2025-03-10,True
3036682823d14ff4,e2a2bc9203784e6f,contact,Re-Contextualize Extensible Technologies Email 2023,Email,Sent,False,2023-06-29,True
b169e67ad6444042,177db71e8d224064,contact,Unleash Cutting-Edge E-Markets Content Syndication 2025,Content Syndication,Sent,False,2025-04-13,True
528031c8c24045fe,471b749201534cc8,contact,Orchestrate 24/7 Relationships Content Syndication 2024,Content Syndication,Responded,True,2025-02-09,False
06fa00671fa0402f,d5d61c3a50e44043,contact,Embrace Out-Of-The-Box Networks Webinar 2023,Email,Sent,False,2024-12-21,True
22deaa6041a741e5,9dd0cecced544ec3,lead,Generate Next-Generation Markets Event 2025,Event,Attended,True,2025-04-01,False
610786db809245c4,61fa38db82654ca5,lead,Iterate Transparent Initiatives Social 2023,Social,Viewed,False,2025-03-11,True
bf2229fdd92c429f,9080f6f09a954df3,contact,Revolutionize Value-Added Deliverables Telemarketing 2023,Telemarketing,Sent,False,2024-01-30,True
68bb022f15e446d9,5a1a8de319284d1c,lead,Brand Leading-Edge Interfaces Telemarketing 2025,Email,Sent,False,2024-06-25,False
399b56fda9c74507,f901e483d8754602,lead,Monetize Front-End Web Services Webinar 2024,Webinar,Attended,True,2025-03-24,False
eb68fe63d98a470d,c255c53028a14545,contact,Strategize Seamless Vortals Telemarketing 2025,Telemarketing,Sent,False,2023-08-05,True
f3ce58c4c1534d6f,e125e1c50d9046ae,lead,Re-Intermediate B2B Interfaces Event 2023,Event,Registered,False,2024-12-17,False
b7c3ee3d38904847,b0fcfbb61c9747b4,contact,Deliver One-To-One Markets Email 2024,Email,Sent,False,2024-04-23,True
9b1d6ac0eb124fc1,8dfaee071d424e98,contact,Orchestrate End-To-End Models Event 2025,Event,No Show,False,2025-04-18,True
ea38ed9d54244ff6,3a562041231b4490,contact,Embrace Out-Of-The-Box Networks Webinar 2023,Webinar,Attended,True,2025-04-11,True
9683f13c47604c42,45934305f11e4b62,lead,Architect Viral Models Webinar 2024,Webinar,Attended,True,2023-11-21,True
f5634d115b2f417f,4564b8d497fd4198,contact,Matrix Wireless Solutions Advertisement 2025,Advertisement,Viewed,False,2025-04-19,False
3c35b694d1bd4f96,293082c6f08e48d3,contact,Drive Next-Generation Communities Telemarketing 2025,Telemarketing,Responded,True,2023-11-24,True
f471f778f2624788,bd6d3f0f02ae41df,lead,Grow Best-Of-Breed Users Event 2024,Email,Sent,False,2023-10-21,False
cb8316d7f3264824,f7aa8c544fa94601,lead,Engineer Robust Web Services Event 2024,Event,Attended,True,2025-03-29,False
1e2d6986b7a9427e,2dbed577e7ec4c09,lead,Whiteboard Synergistic Initiatives Email 2025,Email,Clicked,True,2025-02-11,False
9c180aac4b134500,6d7279c67c4043c1,lead,Strategize Seamless Vortals Telemarketing 2025,Telemarketing,Sent,False,2025-01-20,True
d64d8a8cead6413e,d99b328559514fad,lead,Envisioneer Holistic Web-Readiness Email 2024,Email,Sent,False,2025-04-17,True
94a79980bb0f4be0,177db71e8d224064,contact,Generate Global Architectures Content Syndication 2025,Content Syndication,Sent,False,2025-02-25,True
606d0b5ec07a42b7,8a4e20f67d2e4cf1,contact,E-Enable Seamless E-Commerce Event 2025,Event,No Show,False,2023-06-18,False
8a0ebb1bc10845e6,6f551af0e6e64e0b,lead,Maximize Bleeding-Edge Convergence Webinar 2023,Webinar,Registered,False,2025-04-06,True
4af42ac52db84012,3a07aefee2d74a30,lead,Iterate Transparent Initiatives Social 2023,Social,Clicked,True,2024-01-15,True
4162535b74904b74,9080f6f09a954df3,contact,Envisioneer Holistic Web-Readiness Email 2024,Email,Sent,False,2025-02-28,True
b22731719d9f48ec,40071fae516d4588,lead,Streamline Distributed E-Markets Webinar 2023,Webinar,Registered,False,2024-06-24,True
ec5589f9786c4ca6,ac0229acddaa4ab4,lead,Streamline Distributed E-Markets Webinar 2023,Webinar,No Show,False,2025-04-17,True
87f0350e83084c98,67979dd6ff284c89,lead,Extend Granular Schemas Email 2025,Email,Sent,False,2024-12-25,False
7260b8dd23d94402,29749fd8a29b4cc9,lead,Facilitate Web-Enabled Applications Email 2024,Email,Sent,False,2024-12-24,False
43b5839cde554708,a72d2167f475488f,lead,Disintermediate 24/7 Metrics Telemarketing 2024,Email,Sent,False,2024-12-11,True
67a82e9df546485f,2e32eab771de4fd4,lead,Re-Intermediate Visionary Convergence Webinar 2025,Webinar,Registered,False,2025-01-02,True
33041c95329c48a7,ea3610f1901c46d6,lead,Whiteboard Synergistic Initiatives Email 2025,Email,Sent,False,2025-01-08,False
4166193822144c39,920c7c32abb74f2e,contact,Generate Next-Generation Markets Event 2025,Event,No Show,False,2024-03-21,True
ebd1af9822b94f81,bd63086e621b4ab8,contact,Incubate Front-End E-Tailers Telemarketing 2025,Telemarketing,Responded,True,2025-04-15,True
789a8fef07344326,b4afa2265893433c,contact,Mesh Interactive Platforms Advertisement 2023,Advertisement,Viewed,False,2025-04-18,True
